Date,Price
2007-11-30,7.260132
2007-12-03,7.201223
2007-12-04,7.088325
2007-12-05,7.044145
2007-12-06,7.157047
2007-12-07,7.176683
2007-12-10,7.191413
2007-12-11,7.112866
2007-12-12,7.127597
2007-12-13,7.127597
2007-12-14,7.157047
2007-12-17,6.93615
2007-12-18,6.862522
2007-12-19,6.877247
2007-12-20,6.798708
2007-12-21,6.808523
2007-12-24,6.920251
2007-12-27,6.965549
2007-12-28,6.980645
2007-12-31,7.176932
2008-01-02,7.106473
2008-01-03,7.05111
2008-01-04,6.900123
2008-01-07,6.774298
2008-01-08,6.623314
2008-01-09,6.457226
2008-01-10,6.542786
2008-01-11,6.517622
2008-01-14,6.542786
2008-01-15,6.462256
2008-01-16,6.401865
2008-01-17,6.306237
2008-01-18,6.271009
2008-01-21,6.160285
2008-01-22,6.190481
2008-01-23,6.291138
2008-01-24,6.512586
2008-01-25,6.547817
2008-01-28,6.557881
2008-01-29,6.653508
2008-01-30,6.643445
2008-01-31,6.73404
2008-02-01,6.965549
2008-02-04,6.985679
2008-02-05,6.804497
2008-02-06,6.869922
2008-02-07,6.819594
2008-02-08,6.683704
2008-02-11,6.718941
2008-02-12,6.744099
2008-02-13,6.744099
2008-02-14,6.673643
2008-02-15,6.633375
2008-02-19,6.678674
2008-02-20,6.658544
2008-02-21,6.703834
2008-02-22,6.713906
2008-02-25,6.779333
2008-02-26,6.819594
2008-02-27,6.900123
2008-02-28,6.819594
2008-02-29,6.718941
2008-03-03,6.643445
2008-03-04,6.537753
2008-03-05,6.512586
2008-03-06,6.44213
2008-03-07,6.371665
2008-03-10,6.306237
2008-03-11,6.361602
2008-03-12,6.44213
2008-03-13,6.452191
2008-03-14,6.421997
2008-03-17,6.311269
2008-03-18,6.437089
2008-03-19,6.351536
2008-03-20,6.346498
2008-03-24,6.56292
2008-03-25,6.653508
2008-03-26,6.579445
2008-03-27,6.630175
2008-03-28,6.564224
2008-03-31,6.726558
2008-04-01,6.929469
2008-04-02,6.924395
2008-04-03,6.944688
2008-04-04,6.944688
2008-04-07,6.929469
2008-04-08,6.767141
2008-04-09,6.75699
2008-04-10,6.78236
2008-04-11,6.73163
2008-04-14,6.711342
2008-04-15,6.75699
2008-04-16,6.772216
2008-04-17,6.777282
2008-04-18,6.812797
2008-04-21,6.777282
2008-04-22,6.75699
2008-04-23,6.843234
2008-04-24,6.954835
2008-04-25,6.975121
2008-04-28,7.061365
2008-04-29,6.990341
2008-04-30,6.919326
2008-05-01,7.101944
2008-05-02,7.112089
2008-05-05,7.091801
2008-05-06,7.107018
2008-05-07,6.990341
2008-05-08,7.02078
2008-05-09,6.99542
2008-05-12,6.990341
2008-05-13,6.99542
2008-05-14,7.041069
2008-05-15,7.051218
2008-05-16,7.076583
2008-05-20,7.041069
2008-05-21,6.985272
2008-05-22,6.964978
